Manufacturer,Mark,price,Engine_capacity,Gearbox,Hurd,Type,Color,Year_of_manufacture,Year_of_entry,Engine,Interior_color,Leasing,Drive,Mileage,Conditions,Gate
Toyota,Prius 30,17000000,1.8,Автомат,Буруу,Суудлын тэрэг,Хар,2010,2022,Хайбрид,Хар,Лизинггүй,Урдаа FWD,176000,Дугаар авсан,5
Toyota,Harrier,32000000,3.3,Автомат,Буруу,Жийп,Саарал,2007,2022,Хайбрид,Хар,ББСБ лизингтэй,Урдаа FWD,126000,Дугаар авсан,5
Toyota,Prius 30,16000000,1.8,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2010,2019,Хайбрид,Хар,Лизинггүй,Урдаа FWD,160000,Дугаар авсан,5
Toyota,Camry,34000000,2.4,Автомат,Буруу,Суудлын тэрэг,Цагаан,2014,2021,Хайбрид,Бусад,Лизинггүй,Бүх дугуй 4WD,0,Дугаар авсан,5
Toyota,Sai,29000000,2.4,Автомат,Буруу,Суудлын тэрэг,Саарал,2011,2019,Хайбрид,Бусад,ББСБ лизингтэй,Урдаа FWD,273609,Дугаар авсан,5
Toyota,Prius 30,18500000,1.8,Автомат,Буруу,Суудлын тэрэг,Хар,2011,2021,Хайбрид,Хар,Лизинггүй,Урдаа FWD,235000,Дугаар авсан,4
Kia,Soul,18000000,2.5,Механик,Зөв,Суудлын тэрэг,Цагаан,2005,2023,Дизель,Цагаан шар,Лизинггүй,Хойноо RWD,2000,Дугаар авсан,3
Mitsubishi,Delica,9500000,2.0,Автомат,Буруу,Гэр бүлийн,Бусад,2010,2019,Бензин,Бусад,Лизинггүй,Урдаа FWD,190000,Дугаар авсан,4
Kia,Sorento,4000000,2.5,Механик,Зөв,Жийп,Саарал,2002,2003,Дизель,Саарал,Лизинггүй,Бүх дугуй 4WD,150000,Дугаар авсан,4
Toyota,Prius 30,22500000,1.8,Автомат,Буруу,Суудлын тэрэг,Ягаан,2012,2023,Хайбрид,Хар,Хувь лизингтэй,Урдаа FWD,250000,Дугаар аваагүй,5
Toyota,Land Cruiser Prado,100000000,2.7,Автомат,Зөв,Жийп,Хар,2022,2023,Бензин,Цагаан шар,Лизинггүй,Бүх дугуй 4WD,4880,Дугаар авсан,5
Nissan,X-Trail,27000000,2.0,Автомат,Буруу,Жийп,Хар,2009,2018,Бензин,Хар,Лизинггүй,Бүх дугуй 4WD,199000,Дугаар авсан,5
Toyota,Fielder,18800000,1.5,Автомат,Буруу,Суудлын тэрэг,Цагаан,2014,2022,Хайбрид,Шаргал,ББСБ лизингтэй,Урдаа FWD,200000,Дугаар авсан,5
Toyota,Harrier,19000000,2.5,Автомат,Буруу,Жийп,Бусад,2014,2023,Хайбрид,Хар,Банкны лизингтэй,Бүх дугуй 4WD,127000,Дугаар аваагүй,5
Mercedes-Benz,E-Class,42000000,1.8,Автомат,Буруу,Суудлын тэрэг,Хар,2012,2021,Бензин,Хар,Лизинггүй,Хойноо RWD,160000,Дугаар авсан,4
Toyota,Prius 30,21000000,1.8,Автомат,Буруу,Суудлын тэрэг,Сувдан цагаан,2012,2021,Хайбрид,Цагаан шар,Лизинггүй,Урдаа FWD,100,Дугаар авсан,5
Toyota,Kluger,51500000,3.3,Автомат,Буруу,Жийп,Бусад,2005,2020,Бензин,Бусад,Лизинггүй,Бүх дугуй 4WD,140,Дугаар авсан,5
Toyota,Alphard,98000000,2.4,Автомат,Буруу,Гэр бүлийн,Цагаан,2013,2022,Хайбрид,Цагаан шар,Лизинггүй,Бүх дугуй 4WD,200000,Дугаар авсан,5
